,samples,trajectories,rewards,iter,samples_readable,trajectories_readable
10,"[[400, 400, 201, 201, 101], [400, 400, 201, 200, 101], [301, 301, 201, 200, 101], [0, 301, 200, 200, 101], [601, 301, 0, 600, 100], [601, 601, 600, 600, 100], [601, 0, 300, 600, 100], [300, 300, 300, 0, 100]]","[(3, 90, 0), (6, 90, 0), (6, 270, 2), (3, 180, 0), (4, 0, 0), (2, 0, 2), (2, 180, 2), (1, 0, 4), (1, 0, 4), (-1, -1, -1)]",8103.083984375,32,"[400 400 201 201 101]
[400 400 201 200 101]
[301 301 201 200 101]
[  0 301 200 200 101]
[601 301   0 600 100]
[601 601 600 600 100]
[601   0 300 600 100]
[300 300 300   0 100]",[[3 90 0] [6 90 0] [6 270 2] [3 180 0] [4 0 0] [2 0 2] [2 180 2] [1 0 4] [1 0 4] [-1 -1 -1]]
11,"[[200, 200, 302, 0, 602], [200, 301, 302, 602, 602], [200, 301, 302, 302, 602], [100, 301, 301, 300, 300], [100, 400, 400, 0, 300], [100, 400, 400, 600, 300], [100, 601, 0, 600, 600], [601, 601, 601, 600, 0]]","[(6, 180, 0), (4, 0, 1), (3, 0, 1), (6, 90, 3), (3, 180, 3), (3, 0, 2), (1, 0, 0), (2, 180, 0), (6, 270, 3), (-1, -1, -1)]",8103.083984375,33,"[200 200 302   0 602]
[200 301 302 602 602]
[200 301 302 302 602]
[100 301 301 300 300]
[100 400 400   0 300]
[100 400 400 600 300]
[100 601   0 600 600]
[601 601 601 600   0]",[[6 180 0] [4 0 1] [3 0 1] [6 90 3] [3 180 3] [3 0 2] [1 0 0] [2 180 0] [6 270 3] [-1 -1 -1]]
12,"[[400, 400, 201, 201, 101], [400, 400, 201, 200, 101], [301, 301, 201, 200, 101], [0, 301, 200, 200, 101], [601, 301, 0, 600, 100], [601, 601, 600, 600, 100], [601, 0, 300, 600, 100], [300, 300, 300, 0, 100]]","[(1, 0, 4), (1, 0, 4), (3, 90, 0), (6, 90, 0), (6, 270, 2), (2, 0, 2), (2, 180, 2), (3, 180, 0), (4, 0, 0), (-1, -1, -1)]",8103.083984375,33,"[400 400 201 201 101]
[400 400 201 200 101]
[301 301 201 200 101]
[  0 301 200 200 101]
[601 301   0 600 100]
[601 601 600 600 100]
[601   0 300 600 100]
[300 300 300   0 100]",[[1 0 4] [1 0 4] [3 90 0] [6 90 0] [6 270 2] [2 0 2] [2 180 2] [3 180 0] [4 0 0] [-1 -1 -1]]
13,"[[201, 103, 103, 103, 103], [201, 201, 201, 302, 302], [101, 301, 301, 102, 302], [101, 0, 301, 102, 302], [101, 0, 301, 102, 200], [101, 0, 300, 102, 200], [300, 300, 300, 200, 200], [0, 100, 100, 100, 100]]","[(1, 90, 1), (3, 90, 0), (1, 0, 0), (2, 0, 3), (1, 0, 3), (3, 180, 1), (2, 270, 0), (3, 180, 3), (1, 90, 1), (-1, -1, -1)]",8103.083984375,34,"[201 103 103 103 103]
[201 201 201 302 302]
[101 301 301 102 302]
[101   0 301 102 302]
[101   0 301 102 200]
[101   0 300 102 200]
[300 300 300 200 200]
[  0 100 100 100 100]",[[1 90 1] [3 90 0] [1 0 0] [2 0 3] [1 0 3] [3 180 1] [2 270 0] [3 180 3] [1 90 1] [-1 -1 -1]]
14,"[[200, 200, 302, 0, 602], [200, 301, 302, 602, 602], [200, 301, 302, 302, 602], [100, 301, 301, 300, 300], [100, 400, 400, 0, 300], [100, 400, 400, 600, 300], [100, 601, 0, 600, 600], [601, 601, 601, 600, 0]]","[(6, 90, 3), (6, 180, 0), (4, 0, 1), (3, 180, 3), (1, 0, 0), (3, 0, 1), (3, 0, 2), (2, 180, 0), (6, 270, 3), (-1, -1, -1)]",8103.083984375,34,"[200 200 302   0 602]
[200 301 302 602 602]
[200 301 302 302 602]
[100 301 301 300 300]
[100 400 400   0 300]
[100 400 400 600 300]
[100 601   0 600 600]
[601 601 601 600   0]",[[6 90 3] [6 180 0] [4 0 1] [3 180 3] [1 0 0] [3 0 1] [3 0 2] [2 180 0] [6 270 3] [-1 -1 -1]]
15,"[[400, 400, 201, 201, 101], [400, 400, 201, 200, 101], [301, 301, 201, 200, 101], [0, 301, 200, 200, 101], [601, 301, 0, 600, 100], [601, 601, 600, 600, 100], [601, 0, 300, 600, 100], [300, 300, 300, 0, 100]]","[(1, 0, 4), (3, 90, 0), (6, 90, 0), (3, 180, 0), (1, 0, 4), (6, 270, 2), (2, 0, 2), (2, 180, 2), (4, 0, 0), (-1, -1, -1)]",8103.083984375,35,"[400 400 201 201 101]
[400 400 201 200 101]
[301 301 201 200 101]
[  0 301 200 200 101]
[601 301   0 600 100]
[601 601 600 600 100]
[601   0 300 600 100]
[300 300 300   0 100]",[[1 0 4] [3 90 0] [6 90 0] [3 180 0] [1 0 4] [6 270 2] [2 0 2] [2 180 2] [4 0 0] [-1 -1 -1]]
16,"[[400, 400, 201, 201, 101], [400, 400, 201, 200, 101], [301, 301, 201, 200, 101], [0, 301, 200, 200, 101], [601, 301, 0, 600, 100], [601, 601, 600, 600, 100], [601, 0, 300, 600, 100], [300, 300, 300, 0, 100]]","[(3, 90, 0), (6, 270, 2), (2, 0, 2), (1, 0, 4), (1, 0, 4), (6, 90, 0), (2, 180, 2), (3, 180, 0), (4, 0, 0), (-1, -1, -1)]",8103.083984375,36,"[400 400 201 201 101]
[400 400 201 200 101]
[301 301 201 200 101]
[  0 301 200 200 101]
[601 301   0 600 100]
[601 601 600 600 100]
[601   0 300 600 100]
[300 300 300   0 100]",[[3 90 0] [6 270 2] [2 0 2] [1 0 4] [1 0 4] [6 90 0] [2 180 2] [3 180 0] [4 0 0] [-1 -1 -1]]
17,"[[200, 200, 302, 0, 602], [200, 301, 302, 602, 602], [200, 301, 302, 302, 602], [100, 301, 301, 300, 300], [100, 400, 400, 0, 300], [100, 400, 400, 600, 300], [100, 601, 0, 600, 600], [601, 601, 601, 600, 0]]","[(6, 180, 0), (4, 0, 1), (3, 0, 1), (1, 0, 0), (2, 180, 0), (6, 90, 3), (3, 180, 3), (3, 0, 2), (6, 270, 3), (-1, -1, -1)]",8103.083984375,36,"[200 200 302   0 602]
[200 301 302 602 602]
[200 301 302 302 602]
[100 301 301 300 300]
[100 400 400   0 300]
[100 400 400 600 300]
[100 601   0 600 600]
[601 601 601 600   0]",[[6 180 0] [4 0 1] [3 0 1] [1 0 0] [2 180 0] [6 90 3] [3 180 3] [3 0 2] [6 270 3] [-1 -1 -1]]
18,"[[400, 400, 201, 201, 101], [400, 400, 201, 200, 101], [301, 301, 201, 200, 101], [0, 301, 200, 200, 101], [601, 301, 0, 600, 100], [601, 601, 600, 600, 100], [601, 0, 300, 600, 100], [300, 300, 300, 0, 100]]","[(3, 90, 0), (6, 90, 0), (3, 180, 0), (6, 270, 2), (2, 0, 2), (1, 0, 4), (4, 0, 0), (2, 180, 2), (1, 0, 4), (-1, -1, -1)]",8103.083984375,37,"[400 400 201 201 101]
[400 400 201 200 101]
[301 301 201 200 101]
[  0 301 200 200 101]
[601 301   0 600 100]
[601 601 600 600 100]
[601   0 300 600 100]
[300 300 300   0 100]",[[3 90 0] [6 90 0] [3 180 0] [6 270 2] [2 0 2] [1 0 4] [4 0 0] [2 180 2] [1 0 4] [-1 -1 -1]]
19,"[[102, 200, 200, 400, 400], [102, 200, 0, 400, 400], [102, 200, 500, 500, 100], [102, 500, 500, 700, 100], [101, 301, 700, 700, 100], [101, 301, 700, 0, 100], [101, 301, 301, 0, 300], [101, 0, 300, 300, 300]]","[(3, 90, 2), (3, 0, 1), (7, 90, 2), (5, 0, 1), (1, 0, 0), (1, 0, 4), (4, 0, 3), (1, 0, 0), (2, 180, 1), (-1, -1, -1)]",8103.083984375,37,"[102 200 200 400 400]
[102 200   0 400 400]
[102 200 500 500 100]
[102 500 500 700 100]
[101 301 700 700 100]
[101 301 700   0 100]
[101 301 301   0 300]
[101   0 300 300 300]",[[3 90 2] [3 0 1] [7 90 2] [5 0 1] [1 0 0] [1 0 4] [4 0 3] [1 0 0] [2 180 1] [-1 -1 -1]]
